title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
The Mask,Eraser,The Holiday,Bruce Almighty,The Scorpion King,Intolerable Cruelty,Just Like Heaven,Bedazzled,Out of Sight,My Best Friend's Wedding,The Other Woman,Mickey Blue Eyes,Bless the Child,Heartbreakers,13 Going on 30,Midnight in Paris,There's Something About Mary,Saving Silverman,A Nightmare on Elm Street 3: Dream Warriors,She's the One,What Happens in Vegas
Big,Cinderella,Enchanted,Something's Gotta Give,Bedtime Stories,Doctor Dolittle,You've Got Mail,Forrest Gump,Herbie Fully Loaded,Riding in Cars with Boys,The Flintstones,28 Days,A League of Their Own,Renaissance Man,Larry Crowne,Return to Me,Loser,How to Deal,Aquamarine,Kit Kittredge: An American Girl,Splash
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Jack and Jill,Dinner for Schmucks,Step Brothers,The Dictator,"Me, Myself & Irene",Scary Movie 3,Brüno,"I Love You, Man",This Is 40,Furry Vengeance,The Three Stooges,Meet the Spartans,The Sitter,Jackass Presents: Bad Grandpa,Not Another Teen Movie,Peeples,Losin' It,Clerks II,Religulous,Clerks
Legally Blonde,Fun with Dick and Jane,Gulliver's Travels,The Campaign,The Hangover Part II,Grown Ups 2,Jack and Jill,Hall Pass,Dinner for Schmucks,Step Brothers,The Dictator,Cheaper by the Dozen 2,Edtv,The Internship,Bowfinger,The Watch,Stuck on You,Monster-in-Law,"Legally Blonde 2: Red, White & Blonde",Old School,Election
The Exorcism of Emily Rose,The Wolfman,The Taking of Pelham 1 2 3,The Departed,The Devil's Own,Road to Perdition,The Day the Earth Stood Still,Absolute Power,The Life of David Gale,Bless the Child,Smilla's Sense of Snow,The Debt,The Last House on the Left,Urban Legends: Final Cut,The Midnight Meat Train,The Exorcist,Raising Cain,Prison,Class of 1984,Sinister,In the Bedroom
Deuce Bigalow: Male Gigolo,Fun with Dick and Jane,Gulliver's Travels,The Campaign,The Hangover Part II,Grown Ups 2,Jack and Jill,Hall Pass,Dinner for Schmucks,Step Brothers,The Dictator,Cheaper by the Dozen 2,Edtv,The Internship,Bowfinger,The Watch,Stuck on You,The Change-Up,New York Minute,Deuce Bigalow: European Gigolo,Just Married
Left Behind,Terminator 3: Rise of the Machines,RoboCop,Gone in Sixty Seconds,Hollow Man,Red Planet,The Invasion,Rollerball,Red Dawn,Death Race,Deep Blue Sea,The One,Bangkok Dangerous,Impostor,In Time,Cloverfield,Pitch Black,Equilibrium,Meteor,Banlieue 13,Fortress
The Family Stone,The Holiday,Arthur Christmas,Something's Gotta Give,Four Christmases,The Family Man,Christmas with the Kranks,My Best Friend's Wedding,Hanging Up,Scrooged,Bridget Jones's Diary,A Madea Christmas,Me and Orson Welles,The Santa Clause,Monte Carlo,Home for the Holidays,Bad Santa,And So It Goes,The Muppet Christmas Carol,Annie Hall,Happy Christmas
Bad Santa,The Wolf of Wall Street,Four Christmases,Primary Colors,Cats & Dogs,Pushing Tin,Mr. 3000,Our Brand Is Crisis,A Madea Christmas,The Informant!,Madea's Witness Protection,We're No Angels,Adaptation.,The Family Stone,In Bruges,Faithful,Bernie,The Sting,Ghost World,Les Invasions barbares,Happy Christmas
Austin Powers: International Man of Mystery,The Other Guys,The Campaign,Rush Hour 2,Bicentennial Man,Dinner for Schmucks,Austin Powers in Goldmember,Meet the Fockers,Meet the Parents,22 Jump Street,Big Momma's House 2,Austin Powers: The Spy Who Shagged Me,Horrible Bosses,"Big Mommas: Like Father, Like Son",Spaceballs,Office Space,Galaxina,Clerks II,Party Monster,Robot & Frank,Batman
Diary of a Wimpy Kid: Rodrick Rules,102 Dalmatians,Astro Boy,Marley & Me,Chicken Little,Daddy Day Care,Cats & Dogs,Jingle All the Way,The Boxtrolls,Mr. Popper's Penguins,Paddington,Christmas with the Kranks,Ri¢hie Ri¢h,Sgt. Bilko,Old Dogs,Ella Enchanted,Nacho Libre,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Mr. Bean's Holiday,Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid
Amadeus,Seabiscuit,Lincoln,Invictus,Almost Famous,Evita,Man on the Moon,Nixon,Ray,Jersey Boys,Marie Antoinette,Ghosts of Mississippi,Malcolm X,The Nativity Story,Mandela: Long Walk to Freedom,Get on Up,The Magic Flute,Bobby,The Visual Bible: The Gospel of John,One Flew Over the Cuckoo's Nest,1776
Prom Night,Red Dragon,Bless the Child,A Nightmare on Elm Street,The Stepfather,Scream,Saw 3D,Evil Dead,The Texas Chainsaw Massacre: The Beginning,Urban Legends: Final Cut,Funny Games,Saw III,Saw IV,The Texas Chain Saw Massacre,Pathology,The Devil's Rejects,The Forsaken,The Texas Chainsaw Massacre 2,I Spit on Your Grave,Cabin Fever,Pink Flamingos
Mean Girls,Jack and Jill,Just Like Heaven,Mr. Popper's Penguins,17 Again,New York Minute,Baby Mama,Freaky Friday,What a Girl Wants,The Next Best Thing,White Chicks,Envy,A Cinderella Story,Not Another Teen Movie,Confessions of a Teenage Drama Queen,Bring It On,The DUFF,Easy A,Losin' It,Fast Times at Ridgemont High,Napoleon Dynamite
Under the Tuscan Sun,Something's Gotta Give,George of the Jungle,The Story of Us,Riding in Cars with Boys,Shall We Dance?,Must Love Dogs,Divine Secrets of the Ya-Ya Sisterhood,Return to Me,Home for the Holidays,Sideways,How to Deal,One Day,Clueless,The Perez Family,LOL,Bend It Like Beckham,Jesus' Son,Los insólitos peces gato,Monsoon Wedding,Celeste & Jesse Forever
Gosford Park,The Tourist,Shutter Island,The Manchurian Candidate,Gone Girl,The Bourne Identity,Flightplan,Instinct,The Fan,Dream House,The Pledge,The Firm,The Prestige,Disturbia,The Number 23,The Constant Gardener,Where the Truth Lies,Derailed,The Debt,A Prairie Home Companion,Pierrot le fou
Peggy Sue Got Married,The Family Man,City of Angels,The Godfather: Part III,Kate & Leopold,The Cotton Club,Dracula,The Rainmaker,The Time Traveler's Wife,Apocalypse Now,Midnight in Paris,Stranger Than Fiction,Les Visiteurs 2 : Les Couloirs du temps,Groundhog Day,The Godfather: Part II,The Outsiders,The Godfather,Twixt,Sliding Doors,Somewhere in Time,The Conversation
Birdman,The Longest Yard,The Terminal,Due Date,Primary Colors,Joy,Holy Man,Patch Adams,"Crazy, Stupid, Love.",28 Days,Hanging Up,The Hudsucker Proxy,Burn After Reading,Isn't She Great,Biutiful,Babel,21 Grams,Youth in Revolt,Much Ado About Nothing,It's Kind of a Funny Story,Pocketful of Miracles
United 93,The Dark Knight Rises,The Dark Knight,The Bourne Ultimatum,Green Zone,The Bourne Supremacy,The Fast and the Furious: Tokyo Drift,Munich,The Siege,The Finest Hours,Need for Speed,Man on Fire,Mercury Rising,Captain Phillips,The Hunted,Payback,Patriot Games,Der Baader Meinhof Komplex,A Simple Plan,In Her Line of Fire,Bloody Sunday
Honey,The Princess and the Frog,Zookeeper,Nine,Hairspray,Legends of Oz: Dorothy's Return,Take the Lead,Footloose,Step Up 2: The Streets,My Fair Lady,"New York, New York",Step Up,The Sound of Music,Ta Ra Rum Pum,Flashdance,Addicted,The Perfect Match,The Pirate,Show Boat,Alexander's Ragtime Band,Top Hat
Spy Hard,Tropic Thunder,You Don't Mess with the Zohan,Tower Heist,Miss Congeniality 2: Armed and Fabulous,Central Intelligence,The Interview,Superhero Movie,This Is the End,1941,What's the Worst That Could Happen?,Pineapple Express,Ride Along,Undercover Brother,The Animal,Disaster Movie,Stripes,Kung Pow: Enter the Fist,少林足球,Compadres,The Toxic Avenger Part II
The Fog,Escape from L.A.,The Reaping,Memoirs of an Invisible Man,The Thing,A Nightmare on Elm Street,Poltergeist,Stigmata,Freddy vs. Jason,Big Trouble in Little China,Final Destination,Vampires,Willard,Land of the Dead,Restoration,Halloween,Evil Dead,The Texas Chainsaw Massacre: The Beginning,Urban Legends: Final Cut,They Live,The Evil Dead
Soul Surfer,Twister,Wyatt Earp,Any Given Sunday,42,Against the Ropes,Rush,Million Dollar Arm,Draft Day,Waterloo,"Girl, Interrupted",Never Back Down,Chasing Mavericks,Fight Valley,Bobby Jones: Stroke of Genius,Whip It,Raise Your Voice,Resurrecting the Champ,My Week with Marilyn,Race,Bloodsport
Catch-22,The Longest Yard,Charlie Wilson's War,Wolf,Unbroken,Primary Colors,Flags of Our Fathers,What Planet Are You From?,The Pianist,Closer,A Bridge Too Far,Tora! Tora! Tora!,Zwartboek,To Die For,Mrs Henderson Presents,Little Boy,Radio Days,Tea with Mussolini,The Boy in the Striped Pyjamas,Oorlogswinter,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Conan the Destroyer,Pirates of the Caribbean: At World's End,Spider-Man 3,Batman v Superman: Dawn of Justice,Pirates of the Caribbean: On Stranger Tides,Warcraft,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,Seventh Son,Conan the Barbarian,Last Action Hero,In the Name of the King: A Dungeon Siege Tale,Big Trouble in Little China,Red Sonja,Meteor,Highlander,Firestarter,Dungeons & Dragons: Wrath of the Dragon God,Commando,"20,000 Leagues Under the Sea"
Raging Bull,Hugo,The Aviator,Ali,The Wolf of Wall Street,Gangs of New York,The Departed,Shutter Island,Casino,42,Mean Streets,The Age of Innocence,Bringing Out the Dead,Kundun,GoodFellas,Bobby Jones: Stroke of Genius,"New York, New York",Resurrecting the Champ,The Color of Money,The Last Temptation of Christ,The Last Waltz
Young Sherlock Holmes,Sherlock Holmes,Now You See Me 2,Bandits,Sphere,Edge of Darkness,xXx: State of the Union,Disclosure,Christmas with the Kranks,The Negotiator,Gremlins 2: The New Batch,The Pledge,Sleepers,A Walk Among the Tombstones,Rain Man,Nancy Drew,Envy,Wag the Dog,Gremlins,Diner,Frenzy
Fame,Jack and Jill,Rock of Ages,Mamma Mia!,The Cotton Club,Autumn in New York,Soul Men,Untraceable,The Three Stooges,Knocked Up,The Magic Flute,Good Luck Chuck,Battle of the Year,Youth in Revolt,Jackass Presents: Bad Grandpa,About Last Night,1776,Annie Get Your Gun,The Pirate,Singin' in the Rain,Top Hat
127 Hours,Poseidon,The Hunger Games: Catching Fire,In the Heart of the Sea,Killer Elite,Broken Arrow,Everest,The Beach,Sunshine,The Walk,Alive,Into the Wild,Snitch,A Mighty Heart,Slumdog Millionaire,Room,Trade,28 Days Later,Among Giants,Trainspotting,Captive
Center Stage,Almost Famous,Ray,Jersey Boys,Get on Up,Straight Outta Compton,Footloose,Beyond the Sea,Battle of the Year,I'm Not There.,Step Up 2: The Streets,Black Nativity,What's Love Got to Do with It,The Object of My Affection,Stomp the Yard,"New York, New York",The Runaways,Velvet Goldmine,The History Boys,To Write Love on Her Arms,Alexander's Ragtime Band
Love the Coopers,Evan Almighty,"Monsters, Inc.",Arthur Christmas,Looney Tunes: Back in Action,Doctor Dolittle,Marley & Me,Cheaper by the Dozen 2,Jingle All the Way,Christmas with the Kranks,Kate & Leopold,Cheaper by the Dozen,Ri¢hie Ri¢h,Sgt. Bilko,I Am Sam,Home Alone,Ramona and Beezus,Peeples,Kit Kittredge: An American Girl,The Extra Man,A Christmas Story
Catch That Kid,Robin Hood,Indiana Jones and the Kingdom of the Crystal Skull,The Legend of Tarzan,Eragon,Hercules,Cutthroat Island,Mighty Joe Young,The Legend of Zorro,2 Fast 2 Furious,Inspector Gadget,The Mask of Zorro,Baby's Day Out,Indiana Jones and the Last Crusade,Spy Kids 2: The Island of Lost Dreams,Paul Blart: Mall Cop,The Black Hole,Nancy Drew,3 Ninjas Kick Back,White Fang,The Adventures of Huck Finn
Life as a House,Eat Pray Love,The Judge,At First Sight,Cry Freedom,He Got Game,Marvin's Room,The Net,Burnt,And So It Goes,The Informers,House of Sand and Fog,Boogie Nights,And When Did You Last See Your Father?,Factory Girl,Wah-Wah,90 Minutes in Heaven,Jagten,Nowhere Boy,Festen,جدایی نادر از سیمین
"I Love You, Beth Cooper",Pixels,Bicentennial Man,It's Complicated,Looney Tunes: Back in Action,Stepmom,Rent,Duplex,Friends with Benefits,The Princess Diaries,The 40 Year Old Virgin,Mrs. Doubtfire,Home Alone 2: Lost in New York,Home Alone,American Pie,How to Be a Player,She's All That,Blonde Ambition,The DUFF,The Perfect Match,Among Giants
Youth in Revolt,Jack and Jill,Winter's Tale,What to Expect When You're Expecting,The Three Stooges,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Knocked Up,Good Luck Chuck,Me and Orson Welles,Silver Linings Playbook,Fame,Jackass Presents: Bad Grandpa,About Last Night,Charlie Bartlett,A Walk to Remember,LOL,Cedar Rapids,It's Kind of a Funny Story,Juno,Barry Munday,The Spectacular Now
The Legend of the Lone Ranger,The Lone Ranger,Robin Hood,Prince of Persia: The Sands of Time,Indiana Jones and the Kingdom of the Crystal Skull,The Legend of Tarzan,Hercules,Cutthroat Island,Six Days Seven Nights,The Legend of Zorro,First Knight,Shanghai Noon,Shanghai Knights,Ironclad,Quigley Down Under,Arn: Tempelriddaren,卧虎藏龙,Caravans,"좋은 놈, 나쁜 놈, 이상한 놈",Logan's Run,Robin and Marian
The Tailor of Panama,Thirteen Days,The Insider,Unfaithful,Syriana,Fair Game,Argo,The Juror,City Hall,Extreme Measures,The Debt,People I Know,A Mighty Heart,Black Swan,Trade,친절한 금자씨,Point Blank,Sleep Dealer,Captive,In the Bedroom,Pierrot le fou
Blow Out,Mission to Mars,Mission: Impossible,Shutter Island,The Manchurian Candidate,Snake Eyes,Gone Girl,The General's Daughter,The Black Dahlia,Flightplan,Instinct,The Fan,Dream House,The Pelican Brief,The Firm,The Prestige,Scarface,Arlington Road,Raising Cain,Body Double,The Contender
And So It Goes,Something's Gotta Give,Four Christmases,The American President,"You, Me and Dupree",As Good as It Gets,The Story of Us,Hanging Up,Ghosts of Mississippi,Wonder Boys,A Few Good Men,Silver Linings Playbook,The Family Stone,Life as a House,When Harry Met Sally...,The Princess Bride,Flipped,Solitary Man,Two Lovers,Stand by Me,Annie Hall
Nine 1/2 Weeks,The Great Gatsby,A Beautiful Mind,The Majestic,Mona Lisa Smile,Random Hearts,The Horse Whisperer,Up Close & Personal,Trouble with the Curve,Lolita,Lucky You,Stepmom,Unfaithful,For Love of the Game,Anna Karenina,I Dreamed of Africa,The Informers,Fatal Attraction,Flashdance,The Wrestler,Leaving Las Vegas
Dragonslayer,The Hobbit: The Desolation of Smaug,The Golden Compass,Alice Through the Looking Glass,Warcraft,Hancock,Dark Shadows,Spider-Man,Gods of Egypt,Harry Potter and the Chamber of Secrets,Where the Wild Things Are,The Lovely Bones,Seventh Son,Bruce Almighty,Batman Returns,Wolf,The Legend of Bagger Vance,DragonHeart,Ted,Mortal Kombat,Conan the Destroyer
Ed Wood,Alice in Wonderland,Charlie and the Chocolate Factory,Dark Shadows,Public Enemies,Batman Returns,Mars Attacks!,Charlie Wilson's War,Big Fish,Bowfinger,Man on the Moon,Frankenweenie,Batman,Eddie the Eagle,Edward Scissorhands,Birdman,Hollywood Ending,Beetlejuice,Jakob the Liar,The Lucky Ones,Driving Miss Daisy
Labor Day,Australia,The Perfect Storm,The Aviator,Ali,Ben-Hur,Cold Mountain,Dreamgirls,Apollo 13,Fight Club,We Are Marshall,Eat Pray Love,Any Given Sunday,A Civil Action,Up in the Air,Finding Neverland,Hamlet,Quills,Young Adult,Thank You for Smoking,Juno
Монгол,Seventh Son,Seabiscuit,Lincoln,Invictus,Nixon,Marie Antoinette,Ghosts of Mississippi,Malcolm X,The Nativity Story,Hoffa,Mandela: Long Walk to Freedom,Goodbye Bafana,Frost/Nixon,The Right Stuff,Shakespeare in Love,W.,The Last Emperor,Elizabeth,The 33,Coco avant Chanel
Megaforce,John Carter,The Avengers,Captain America: Civil War,Iron Man 3,Transformers: Revenge of the Fallen,Transformers: Age of Extinction,TRON: Legacy,Star Trek Into Darkness,Pacific Rim,Transformers: Dark of the Moon,Star Trek Beyond,Iron Man,Iron Man 2,Captain America: The Winter Soldier,Independence Day: Resurgence,Guardians of the Galaxy,The Hunger Games: Mockingjay - Part 2,Transformers,Captain America: The First Avenger,Starship Troopers
Hamlet,Cinderella,Cold Mountain,Jack Ryan: Shadow Recruit,Magnolia,Out of Africa,The Magic Flute,Rain Man,Finding Neverland,Labor Day,Dead Poets Society,White Oleander,Things We Lost in the Fire,Quills,Philomena,My Week with Marilyn,Henry V,Much Ado About Nothing,Still Alice,Savage Grace,Jagten
Midnight Special,Exodus: Gods and Kings,Allegiant,The Martian,Cloud Atlas,A.I. Artificial Intelligence,Cast Away,The Postman,Everest,Jurassic Park,K-PAX,Солярис,The 5th Wave,The Fountain,The Giver,Eternal Sunshine of the Spotless Mind,The Astronaut Farmer,Melancholia,"20,000 Leagues Under the Sea",Take Shelter,Silent Running
Anything Else,American Wedding,Man on the Moon,American Pie 2,Midnight in Paris,The Curse of the Jade Scorpion,Saving Silverman,My Best Friend's Girl,Bullets Over Broadway,Deconstructing Harry,Everyone Says I Love You,Vicky Cristina Barcelona,Radio Days,Hollywood Ending,American Pie,Celebrity,Annie Hall,Sleeper,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Bananas,Celeste & Jesse Forever
The Railway Man,Australia,Seabiscuit,Lincoln,Invictus,Nixon,Marie Antoinette,Ghosts of Mississippi,Malcolm X,The Nativity Story,Mandela: Long Walk to Freedom,Goodbye Bafana,Frost/Nixon,The 33,Gandhi,Won't Back Down,The King's Speech,Oorlogswinter,Dallas Buyers Club,Judgment at Nuremberg,The Best Years of Our Lives
Das weisse Band,Zodiac,Hostage,The General's Daughter,Edge of Darkness,Changeling,Blood Work,The Bone Collector,The Pelican Brief,The Client,The Pledge,High Crimes,Double Jeopardy,Michael Clayton,Secret in Their Eyes,Sea of Love,Funny Games,Glengarry Glen Ross,Amour,The Lady from Shanghai,The Conversation
Restoration,The Mummy: Tomb of the Dragon Emperor,Grown Ups 2,Legends of Oz: Dorothy's Return,Bullet to the Head,Hereafter,Inchon,Last Holiday,The Reaping,Quest for Camelot,Life or Something Like It,Duplex,Raising Cain,The Haunting of Molly Hartley,Thr3e,Containment,#Horror,The Wicked Within,Snow White: A Deadly Summer,Girls Gone Dead,Super Hybrid
Salton Sea,Shutter Island,The Manchurian Candidate,Gone Girl,Flightplan,Instinct,The Fan,I Am Number Four,Murder by Numbers,Dream House,The Firm,The Prestige,Disturbia,The Number 23,The Constant Gardener,Where the Truth Lies,Faster,Arlington Road,Tinker Tailor Soldier Spy,Birth,The Limey
The Informers,Australia,The Perfect Storm,The Aviator,Bringing Out the Dead,"Girl, Interrupted",The End of the Affair,Babel,Burnt,People I Know,Life as a House,Nine 1/2 Weeks,Boogie Nights,Buffalo Soldiers,Kinsey,Factory Girl,Sling Blade,Savage Grace,Network,"Sex, Lies, and Videotape","First Love, Last Rites"
Carlos,Public Enemies,The Taking of Pelham 1 2 3,Gangs of New York,The Departed,The Devil's Own,K-19: The Widowmaker,Road to Perdition,Hostage,The Siege,Jack Reacher,The Godfather: Part III,Absolute Power,Blood and Wine,The Gambler,In the Valley of Elah,Der Baader Meinhof Komplex,United 93,Killer Joe,Albino Alligator,Dying of the Light
Day of the Dead,World War Z,Creepshow,Alien: Resurrection,Resident Evil: Apocalypse,Resident Evil: Extinction,Resident Evil,Land of the Dead,28 Weeks Later,Disturbing Behavior,Jason X,The Last Days on Mars,28 Days Later,Survival of the Dead,Night of the Living Dead,Creepshow 2,Antiviral,Diary of the Dead,C.H.U.D.,Kingdom of the Spiders,The Brain That Wouldn't Die
Renaissance,Edge of Tomorrow,Final Fantasy: The Spirits Within,After Earth,RoboCop,"I, Robot",Dredd,Titan A.E.,Astro Boy,Æon Flux,9,eXistenZ,Brazil,Banlieue 13,Fortress,アキラ,Escape from New York,"Batman: The Dark Knight Returns, Part 2",Escape from the Planet of the Apes,Battle for the Planet of the Apes,Conquest of the Planet of the Apes
Red Sonja,Spider-Man 3,Batman v Superman: Dawn of Justice,Pirates of the Caribbean: Dead Man's Chest,The Amazing Spider-Man,Spider-Man 2,The Amazing Spider-Man 2,X-Men: Days of Future Past,Warcraft,Thor: The Dark World,Thor,4: Rise of the Silver Surfer,The Wolverine,Teenage Mutant Ninja Turtles: Out of the Shadows,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,Conan the Barbarian,Conan the Destroyer,Highlander,"20,000 Leagues Under the Sea"
Red Lights,Killer Elite,Hard Rain,Don't Say a Word,Sunshine,Reindeer Games,Cape Fear,Assault on Precinct 13,Money Monster,Red Eye,Copycat,The Cold Light of Day,Survivor,Thir13en Ghosts,City of Ghosts,A Most Wanted Man,The Lazarus Effect,Mientras duermes,The Boy Next Door,The Calling,Martha Marcy May Marlene
Wolves,X-Men,Doom,Underworld: Awakening,Abraham Lincoln: Vampire Hunter,The Scorpion King,Alien: Resurrection,Alien³,Hansel & Gretel: Witch Hunters,Resident Evil: Apocalypse,Resident Evil: Extinction,Resident Evil,Bait,Dawn of the Dead,The Crazies,Tremors,Into the Grizzly Maze,Navy Seals vs. Zombies,Red State,Diary of the Dead,The Howling
Step Up 2: The Streets,Now You See Me 2,Nine,Rock of Ages,Les Misérables,Moulin Rouge!,The Cotton Club,Step Up Revolution,Walk the Line,Center Stage,Raise Your Voice,Stomp the Yard,"New York, New York",Yentl,Crazy Heart,The Rose,Flashdance,Alexander's Ragtime Band,We Are Your Friends,Så som i himmelen,Once
Hoodwinked!,Toy Story 3,Bee Movie,Rio 2,"Monsters, Inc.",Surf's Up,Toy Story 2,Cloudy with a Chance of Meatballs,Rio,102 Dalmatians,Over the Hedge,Looney Tunes: Back in Action,Cloudy with a Chance of Meatballs 2,Despicable Me 2,The Simpsons Movie,Hop,Chicken Little,Garfield: A Tail of Two Kitties,Free Birds,Garfield,Happily N'Ever After
Hotel Rwanda,The Last Samurai,Windtalkers,The Patriot,Valkyrie,Braveheart,Saving Private Ryan,Gods and Generals,Flags of Our Fathers,The Thin Red Line,Inchon,Mandela: Long Walk to Freedom,Apocalypse Now,A Bridge Too Far,Schindler's List,Gettysburg,Der Untergang,Patton,The Wind That Shakes the Barley,Oorlogswinter,The Bridge on the River Kwai
Hitman,The Dark Knight Rises,The Dark Knight,A Good Day to Die Hard,The Fast and the Furious: Tokyo Drift,Wanted,The Siege,Need for Speed,Man on Fire,Mercury Rising,The Hunted,Payback,The International,Patriot Games,Training Day,Bangkok Dangerous,Colombiana,The Gunman,The Replacement Killers,Drive,The November Man
Black Nativity,Almost Famous,Ray,Jersey Boys,Take the Lead,Get on Up,Straight Outta Compton,The Magic Flute,Beyond the Sea,The Beaver,Battle of the Year,I'm Not There.,Center Stage,What's Love Got to Do with It,Stomp the Yard,Oliver!,The Runaways,Velvet Goldmine,Polisse,To Write Love on Her Arms,Old Joy
The Prince,The Bourne Legacy,Speed 2: Cruise Control,Live Free or Die Hard,True Lies,The Expendables 2,A Good Day to Die Hard,Die Hard: With a Vengeance,Con Air,Ransom,Die Hard 2,Escape Plan,Red Dawn,Under Siege 2: Dark Territory,D-Tox,The Peacemaker,Die Hard,Taken,Bullets Over Broadway,The Cold Light of Day,The November Man
City of Ghosts,Bullet to the Head,Duplex,Chill Factor,Blood Ties,Faster,Zulu,Slow Burn,The Son of No One,The Pursuit of D.B. Cooper,Raising Cain,Invasion U.S.A.,Swelter,Betty Fisher et autres histoires,Trade Of Innocents,Chicago Overcoat,Thr3e,Containment,#Horror,Da Sweet Blood of Jesus,Snow White: A Deadly Summer
Aliens,Avatar,Titanic,World War Z,I Am Legend,True Lies,The Abyss,Alien: Resurrection,Alien³,Aliens vs Predator: Requiem,Impostor,The Darkest Hour,Moonraker,Lake Placid,Cloverfield,Lifeforce,eXistenZ,The Cold Light of Day,Alien,Apollo 18,They Live
My Fair Lady,Nine,Les Misérables,Moulin Rouge!,The Cotton Club,Step Up Revolution,Mr. Holland's Opus,Walk the Line,Pride & Prejudice,Footloose,The Last Song,Paint Your Wagon,Battle of the Year,Honey,Fame,Step Up 2: The Streets,Raise Your Voice,"New York, New York",Oliver!,The Sound of Music,The Pirate
I Know What You Did Last Summer,Exorcist: The Beginning,D-Tox,Scream 4,Cursed,Scream 2,I Still Know What You Did Last Summer,The Grudge 2,One Missed Call,Scream,The Faculty,Urban Legend,Stir of Echoes,Body Double,Child's Play,Shutter,Sinister,Friday the 13th Part VI: Jason Lives,Friday the 13th Part VII: The New Blood,The Curse of Downers Grove,All the Boys Love Mandy Lane
Let's Be Cops,Fun with Dick and Jane,Gulliver's Travels,The Campaign,Stuck on You,Failure to Launch,Your Highness,Horrible Bosses 2,Because I Said So,Furry Vengeance,Last Vegas,Kindergarten Cop,The Next Best Thing,The Animal,Just Married,A Night at the Roxbury,Confessions of a Teenage Drama Queen,National Lampoon's Loaded Weapon 1,Election,The Return of the Pink Panther,L!fe Happens
Sideways,Something's Gotta Give,Four Christmases,The Majestic,The American President,Leatherheads,Forrest Gump,Hitch,Maid in Manhattan,Riding in Cars with Boys,Tin Cup,Wonder Boys,About Schmidt,Barney's Version,The Descendants,Under the Tuscan Sun,Where the Heart Is,Tomcats,Election,Juno,Garden State
Halloween,Escape from L.A.,The Thing,Dracula 2000,Vampires,Thir13en Ghosts,The Fog,Halloween: Resurrection,Urban Legend,Valentine,The Collection,Child's Play,House at the End of the Street,Escape from New York,Halloween 5: The Revenge of Michael Myers,The Lazarus Effect,Friday the 13th Part VIII: Jason Takes Manhattan,Halloween 4: The Return of Michael Myers,They Live,Jason Goes to Hell: The Final Friday,Friday the 13th Part VII: The New Blood
Saw 3D,Red Dragon,Bless the Child,The Reaping,A Nightmare on Elm Street,Scream,Land of the Dead,Prom Night,The Texas Chainsaw Massacre: The Beginning,Funny Games,The Midnight Meat Train,Saw III,Saw IV,The Collection,Pathology,The Devil's Rejects,Saw II,Paranormal Activity 4,I Spit on Your Grave,...E tu vivrai nel terrore! L'aldilà,Pink Flamingos
A Night at the Roxbury,Fun with Dick and Jane,Gulliver's Travels,The Campaign,The Hangover Part II,Grown Ups 2,Jack and Jill,Hall Pass,Dinner for Schmucks,Step Brothers,Stuck on You,Anchorman 2: The Legend Continues,Daddy's Home,Get Hard,Zoolander,"Legally Blonde 2: Red, White & Blonde",Old School,A Cinderella Story,Let's Be Cops,Dick,Tim and Eric's Billion Dollar Movie
Beastly,The Great Gatsby,What Dreams May Come,Winter's Tale,City of Angels,Beautiful Creatures,The Time Traveler's Wife,Twilight,The Age of Adaline,Stranger Than Fiction,Notes on a Scandal,Dear John,Edward Scissorhands,Won't Back Down,The Illusionist,One Day,Flipped,The Fault in Our Stars,A Walk to Remember,Iris,Now Is Good
The Hills Have Eyes,"I, Frankenstein",Gothika,FearDotCom,30 Days of Night,The Cabin in the Woods,Dracula 2000,Lost Souls,Red Eye,The Omen,Jeepers Creepers 2,Shark Night,1408,Jaws 2,The Conjuring,The Grudge 2,Texas Chainsaw 3D,Thir13en Ghosts,The Shining,Halloween,Haute tension
Dickie Roberts: Former Child Star,Fun with Dick and Jane,Gulliver's Travels,The Campaign,The Hangover Part II,Grown Ups 2,Jack and Jill,Hall Pass,Dinner for Schmucks,Step Brothers,The Dictator,Cheaper by the Dozen 2,Edtv,George of the Jungle,Scary Movie 4,The Out-of-Towners,What's the Worst That Could Happen?,Joe Dirt,UHF,Bananas,Clerks
"McFarland, USA",1947: Earth,Goal!: The Dream Begins,Draft Day,The Beaver,Whip It,Copying Beethoven,A Better Life,Polisse,The Namesake,Morvern Callar,Miss Julie,Whale Rider,Adore,Brick Lane,Winter's Bone,Que Horas Ela Volta?,Frozen River,Palo Alto,Circumstance,Old Joy
