title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Iron Man 3,The Avengers,Captain America: Civil War,X-Men: The Last Stand,X-Men: Days of Future Past,Iron Man,Iron Man 2,Captain America: The Winter Soldier,Guardians of the Galaxy,X-Men Origins: Wolverine,Thor: The Dark World,Captain America: The First Avenger,The Incredible Hulk,Ant-Man,X2,The Wolverine,Fantastic Four,The Time Machine,Journey 2: The Mysterious Island,X-Men,Kiss Kiss Bang Bang
Alice in Wonderland,The Chronicles of Narnia: Prince Caspian,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Maleficent,Alice Through the Looking Glass,The Chronicles of Narnia: The Voyage of the Dawn Treader,Charlie and the Chocolate Factory,Dark Shadows,Pan,The BFG,Eragon,Epic,Batman Returns,Mars Attacks!,Big Fish,Frankenweenie,Batman,The Neverending Story,Edward Scissorhands,Ed Wood,Beetlejuice
X-Men: The Last Stand,The Avengers,Captain America: Civil War,X-Men: Days of Future Past,Rush Hour 3,Iron Man 2,X-Men Origins: Wolverine,The Incredible Hulk,Ant-Man,X2,The Wolverine,Hercules,Rush Hour 2,Tower Heist,Red Dragon,X-Men,Star Trek: Insurrection,Star Trek: Nemesis,After the Sunset,The Shadow,Money Talks
Monsters University,Tangled,WALL·E,Frozen,Kung Fu Panda 2,Madagascar 3: Europe's Most Wanted,Turbo,Dinosaur,"Monsters, Inc.",Finding Nemo,Lilo & Stitch,Monster House,Despicable Me,Coraline,Anastasia,Sammy's avonturen: De geheime doorgang,The Jungle Book 2,Alpha and Omega,Pooh's Heffalump Movie,Chasseurs de dragons,Henry & Me
Transformers: Revenge of the Fallen,The Avengers,Captain America: Civil War,Transformers: Age of Extinction,Star Trek Into Darkness,Pacific Rim,Transformers: Dark of the Moon,Indiana Jones and the Kingdom of the Crystal Skull,Captain America: The Winter Soldier,Guardians of the Galaxy,Transformers,Armageddon,Ant-Man,The Hunger Games: Catching Fire,Bad Boys II,The Island,Journey 2: The Mysterious Island,The Rock,13 Hours: The Secret Soldiers of Benghazi,Pain & Gain,Bad Boys
Transformers: Age of Extinction,John Carter,Captain America: Civil War,Transformers: Revenge of the Fallen,Star Trek Into Darkness,Pacific Rim,Transformers: Dark of the Moon,Star Trek Beyond,Transformers,Armageddon,The Hunger Games: Catching Fire,Bad Boys II,The Island,Independence Day,The Rock,AVP: Alien vs. Predator,The Ring Two,13 Hours: The Secret Soldiers of Benghazi,Pain & Gain,Bad Boys,Mad Max Beyond Thunderdome
Oz: The Great and Powerful,Spider-Man 3,Harry Potter and the Half-Blood Prince,Spider-Man 2,Alice in Wonderland,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",The Chronicles of Narnia: The Voyage of the Dawn Treader,Harry Potter and the Goblet of Fire,Pan,Rise of the Guardians,Spider-Man,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Philosopher's Stone,Harry Potter and the Chamber of Secrets,Percy Jackson: Sea of Monsters,Robots,Inkheart,The House of Magic,Army of Darkness,Evil Dead II,The Wizard of Oz
The Amazing Spider-Man 2,Pirates of the Caribbean: At World's End,Spider-Man 3,Batman v Superman: Dawn of Justice,Superman Returns,Pirates of the Caribbean: Dead Man's Chest,Man of Steel,The Amazing Spider-Man,Spider-Man 2,X-Men: Days of Future Past,Warcraft,Thor: The Dark World,Thor,4: Rise of the Silver Surfer,The Wolverine,Teenage Mutant Ninja Turtles: Out of the Shadows,Superman,Superman II,Superman III,The 5th Wave,Red Sonja
TRON: Legacy,John Carter,The Avengers,Captain America: Civil War,Iron Man 3,Transformers: Revenge of the Fallen,Pacific Rim,Iron Man,The Hunger Games: Mockingjay - Part 2,Terminator Genisys,The Matrix Revolutions,The Matrix Reloaded,The Hunger Games: Catching Fire,After Earth,Total Recall,Oblivion,Divergent,Dune,Damnation Alley,Mad Max Beyond Thunderdome,Mad Max
Cars 2,Up,Wreck-It Ralph,Shrek the Third,Night at the Museum: Battle of the Smithsonian,Bolt,Kung Fu Panda,Rio 2,Ice Age: Dawn of the Dinosaurs,Alvin and the Chipmunks: The Road Chip,Rio,Cars,The SpongeBob Movie: Sponge Out of Water,Marley & Me,Chicken Little,Free Birds,A Bug's Life,Aliens in the Attic,Paul Blart: Mall Cop,Diary of a Wimpy Kid: Dog Days,Beverly Hills Chihuahua
